"TeamID","Nombredel Equipo","Rango","uId","Nombredel Jugador","Salud","Númerode Bajas","Daño","Máxima Distanciade Baja","Asistencias","Noqueos","Número deHeadshots","DañoRecibido","Curación","Tiempo deSupervivencia","Tiempo Fuera delCírculo Azul","Daño Totalpor Veneno","Bajas enVehículo","Bajas conGranada","DistanciaConducida","DistanciaRecorrida","Rescates","Granadas de HumoUsadas","Granadas FragmentaciónUsadas","Granadas IncendiariasUsadas","Granadas CegadorasUsadas","SuministrosObtenidos","Daño Totalpor Equipo"
34,Team34,1,535328945,RevXEAAAN,52,4,398,35,0,0,1,51,52,21m 18s,0m 8s,48,0,1,1291,1187,0,0,5,0,0,0,398
21,Team21,2,543971361,SteelPUMAzinN,0,3,450,119,0,1,0,164,66,21m 7s,0m 0s,0,0,0,2280,1431,0,3,0,0,0,0,450
31,Team31,3,5340410197,ALLxSicario,0,2,230,111,0,0,0,176,349,20m 41s,2m 49s,272,0,0,2614,2269,0,3,4,0,0,1,230
39,Team39,4,584892350,DeVale×Nova,0,2,340,116,0,1,1,199,179,19m 27s,1m 44s,99,0,0,3683,1401,0,2,0,0,0,0,340
7,Team7,5,51719438378,pgWhisky,0,2,266,48,0,0,0,149,425,19m 8s,1m 46s,376,0,0,5109,2353,0,0,4,1,0,0,266
15,Team15,6,51867149474,sirJOST,0,1,85,11,0,0,0,134,247,18m 51s,2m 50s,194,0,0,1843,2863,0,0,0,0,0,0,85
3,Team3,7,51958812313,Mʞ〢Nayda,0,1,100,3,0,0,0,126,128,18m 21s,0m 11s,120,0,0,337,2260,0,3,1,1,0,0,100
14,Team14,8,5223758938,ūFlorīīī,0,3,261,92,0,1,0,130,30,18m 9s,0m 0s,0,0,0,1423,833,0,0,0,0,0,0,261
27,Team27,9,5134902957,prime曼努埃爾,0,0,33,0,0,0,0,27,73,18m 32s,1m 2s,225,0,0,4406,2154,0,0,3,0,0,0,33
43,Team43,10,52135644282,suixAlansinho,0,5,639,102,0,1,0,450,413,17m 42s,1m 46s,161,0,0,3655,2662,0,1,4,1,1,0,639
9,Team9,11,51671825699,เʍp๛乙ㅤATO,0,5,726,65,0,2,2,292,113,16m 53s,0m 0s,0,0,0,4080,1219,0,0,0,0,0,0,726
36,Team36,12,551989148,1paXeneize,0,2,260,51,0,1,1,53,695,16m 57s,8m 56s,746,0,0,3167,2374,0,2,1,0,0,0,260
53,Team53,13,5563068333,MLFxxSEBASTIAN,0,0,0,0,0,0,0,143,291,15m 19s,1m 30s,345,0,0,903,1766,0,0,0,0,0,0,0
2,Team2,14,5336419911,ryuMUSTANGg38,0,2,224,77,0,0,0,100,0,15m 16s,0m 0s,0,0,0,0,1513,0,0,0,0,0,0,224
41,Team41,15,52181442907,CDSxRRR,0,0,73,0,0,0,0,170,79,15m 17s,0m 0s,0,0,0,6652,1076,0,0,0,0,0,0,73
99,Team99,16,52096872266,『VLS』ALYSHA,0,2,186,13,0,0,0,25,76,14m 0s,0m 39s,203,0,0,785,3365,0,0,0,0,0,0,186
29,Team29,17,5143990878,Rиg〦Bøиkz,0,2,200,104,0,0,0,168,91,13m 44s,0m 23s,22,0,0,1609,2968,0,0,0,0,0,0,200
30,Team30,18,5879333980,srPikitO,0,1,100,98,0,0,0,166,67,13m 9s,0m 0s,0,0,0,0,1124,0,0,0,0,0,0,100
6,Team6,19,5845452191,『Masternoob』,0,1,227,12,0,1,0,190,0,12m 50s,0m 0s,0,0,0,0,1893,0,0,0,0,0,0,227
13,Team13,20,579843695,Sh4kY23,0,0,0,0,0,0,0,323,162,12m 43s,0m 0s,0,0,0,0,3315,0,0,0,0,0,0,0
